"State","Facility Name","Facility ID","Unit ID","Associated Stacks","Year","Operating Time Count","Sum of the Operating Time","Gross Load (MWh)","Steam Load (1000 lb)","SO2 Mass (short tons)","SO2 Rate (lbs/mmBtu)","CO2 Mass (short tons)","CO2 Rate (short tons/mmBtu)","NOx Mass (short tons)","NOx Rate (lbs/mmBtu)","Heat Input (mmBtu)","Primary Fuel Type","Secondary Fuel Type","Unit Type","SO2 Controls","NOx Controls","PM Controls","Hg Controls","Program Code"
"CA","Gilroy Energy Center, LLC",55810,"S-5",,2024,314,215.49,7193.13,,0.022,0.001,4374.733,0.0593,0.912,0.0462,73613.29,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Ammonia Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Feather River Energy Center",55847,"UNIT1",,2024,1785,1560.6,48361.99,,0.163,0.001,32225.846,0.0593,13.869,0.1737,542267.357,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Wolfskill Energy Center",55855,"UNIT1",,2024,288,214.88,7722.9,,0.025,0.001,4900.054,0.0593,0.748,0.0421,82445.672,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Ammonia Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Tracy Combined Cycle Power Plant",55933,"TPP1",,2024,4212,4074.88,532855.42,,1.298,0.001,257096.225,0.059,25.085,0.0182,4326080.202,"Pipeline Natural Gas",,"Combined cycle",,"Selective Catalytic Reduction|Dry Low NOx Burners",,,"ARP"
"CA","Tracy Combined Cycle Power Plant",55933,"TPP2",,2024,4100,3961.81,516666.24,,1.26,0.001,249531.479,0.059,24.371,0.0184,4198843.572,"Pipeline Natural Gas",,"Combined cycle",,"Selective Catalytic Reduction|Dry Low NOx Burners",,,"ARP"
"CA","Agua Mansa Power",55951,"AMP-1",,2024,287,243.75,9338,,0.029,0.001,5791.35,0.0592,0.82,0.0326,97443.275,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Riverview Energy Center",55963,"1",,2024,704,555.32,22299.79,,0.069,0.001,13732.075,0.0592,1.997,0.0332,231078.775,"Pipeline Natural Gas",,"Combustion turbine",,"Ammonia Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Cosumnes Power Plant",55970,"2",,2024,7636,7629.42,1984035.91,,4.095,0.001,823774.862,0.0602,38.821,0.0058,13649774.074,"Other Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Cosumnes Power Plant",55970,"3",,2024,7594,7585.5,1969135.93,,4.043,0.001,813236.307,0.0602,34.328,0.0051,13475035.472,"Other Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Palomar Energy Center",55985,"CTG1",,2024,1872,1788.05,415916.37,,0.881,0.001,174534.868,0.059,12.249,0.0126,2936880.78,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Palomar Energy Center",55985,"CTG2",,2024,2346,2241.74,521373.27,,1.103,0.001,218523.338,0.059,13.269,0.0111,3677030.384,"Pipeline Natural Gas","Other Gas","Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Donald Von Raesfeld",56026,"PCT1",,2024,7276,7214.7,457557.1,,1.062,0.001,210355.66,0.0592,11.717,0.0071,3539662.218,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Donald Von Raesfeld",56026,"PCT2",,2024,7330,7268.63,458815.17,,1.08,0.001,213954.44,0.0591,11.935,0.0073,3600213.648,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Malburg Generating Station",56041,"M1",,2024,5172,5154.36,197060.28,,0.489,0.001,96865.555,0.0593,5.873,0.0078,1629931.257,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Malburg Generating Station",56041,"M2",,2024,4328,4313.62,174344.52,,0.435,0.001,86113.377,0.0593,5.839,0.0085,1449055.665,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Magnolia Power Project",56046,"1",,2024,8328,8323.19,1610957.45,,3.518,0.001,697417.093,0.059,29.882,0.0053,11735435.405,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Walnut Energy Center",56078,"1",,2024,7664,7651.62,813459.28,,1.98,0.001,392205.499,0.059,25.051,0.0079,6599463.002,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Ammonia Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Walnut Energy Center",56078,"2",,2024,7197,7187.38,766092.42,,1.857,0.001,367760.487,0.059,20.615,0.0069,6188274.43,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Ammonia Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Ripon Generation Station",56135,"1",,2024,283,215.95,5841.32,,0.021,0.001,4123.497,0.0593,0.483,0.0427,69386.958,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Ripon Generation Station",56135,"2",,2024,220,168.35,4929.31,,0.015,0.001,2929.64,0.0593,0.401,0.0465,49307.615,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Riverside Energy Resource Center",56143,"1",,2024,510,385.45,15431.98,,0.046,0.001,9101.252,0.0592,0.747,0.0157,153159.215,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Riverside Energy Resource Center",56143,"2",,2024,622,477.61,20599.86,,0.064,0.001,12587.787,0.0592,0.938,0.0153,211805.656,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Riverside Energy Resource Center",56143,"3",,2024,687,536.48,23886.89,,0.07,0.001,13920.756,0.0592,1.098,0.0184,234227.51,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Riverside Energy Resource Center",56143,"4",,2024,526,400.28,16589.07,,0.049,0.001,9662.959,0.0592,0.797,0.015,162603.214,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Miramar Energy Facility",56232,"1",,2024,182,139.52,5675.41,,0.017,0.001,3348.28,0.0593,0.556,0.0397,56347.826,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Miramar Energy Facility",56232,"2",,2024,164,125.82,5200.99,,0.016,0.001,3079.521,0.0592,0.495,0.0325,51818.064,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Malaga Power",56239,"GT-1",,2024,349,230.85,7014.85,,0.021,0.001,4179.545,0.0594,0.639,0.0436,70324.8,"Pipeline Natural Gas",,"Combustion turbine",,"Selective Catalytic Reduction",,,"ARP"
"CA","Malaga Power",56239,"GT-2",,2024,364,254.16,7677.12,,0.023,0.001,4552.583,0.0593,0.651,0.0437,76618.863,"Pipeline Natural Gas",,"Combustion turbine",,"Selective Catalytic Reduction",,,"ARP"
"CA","Roseville Energy Park",56298,"CT001",,2024,6539,6520.75,346404.22,,0.823,0.001,163069.034,0.0592,7.123,0.0054,2744034.872,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Roseville Energy Park",56298,"CT002",,2024,4260,4229.46,223560.43,,0.554,0.001,109718.995,0.0592,5.915,0.0072,1846166.724,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
